date,summary,run,bike,sports,yoga,abs,lift
7/1/17,shoulders,1.1,0,0,0,5,1
7/2/17,0,0,5,0,0.25,0,0
7/3/17,0,0,4.25,0,0,0,0
7/4/17,"bike, abs",0,4.6,0,0.33,10,0
7/5/17,chest+tri,0,0,0,0,6.5,1
7/6/17,0,0,0,0,0,0,0
7/7/17,legs,0,2.1,0.9166666667,0,2,1
7/9/17,run,2,0,0,0,0,0.3
7/10/17,back+bi,0.8,0,0,0,10,1
7/11/17,run,2,3,0,0,0,0.15
7/12/17,0,0,0,0,0,0,0
7/13/17,shoulders,0,6,0,0,11,1
7/14/17,run,3.2,0,0,0,0,0.3
7/17/17,bike,0,5.7,0,0,10,0
7/18/17,chest+tri,0,4.433333333,0,0,10,1
7/19/17,0,0,0,0,0,0,0
7/20/17,yoga,0,0,0,0.5333333333,0,0
7/23/17,legs,0.8,0,0,0,12,1
7/24/17,run,1.8,0,0.5,0,0,0.2
7/25/17,yoga,0,5.4,0,0.6666666667,0,0
7/26/17,bball,0,0,0.5,0,5,0.1
7/27/17,back+bi,0.8,12.26666667,0,0,8,1
7/28/17,yoga,0,0,0,0.8333333333,0,0
7/29/17,"run, yoga",3.4,0,0,0.5,0,0
7/30/17,"run, pullups",1.75,3,0,0,0,0.3
7/31/17,0,0,0,0,0,0,0
